??2: [20250104, 'B004', 'E009', 'C011', '二쇱떇', '留ㅻ룄', 148000000, 0.0015, 222000, '?뺤긽', None, None]
??3: [20250104, 'B004', 'E004', 'C066', 'ELS', '?댁?', 0, 0.0039, 716820, '?뺤긽', None, None]
??4: [20250104, 'B005', 'E005', 'C016', 'RP', '?댁?', 371000000, 0.0014, 519400, '?뺤긽', None, None]
??2: [20250109, 'B002', 'E002', 'C029', 'ELS', '?댁?', 307400000, 0.004, 1229600, '?뺤긽', None, None]
??3: [20250109, 'B005', 'E005', 'C038', '???, '?댁?', 425400000, 0.0028, 1191120, '?뺤긽', None, None]
??4: [20250109, 'B002', 'E002', 'C021', '梨꾧텒', '留ㅼ닔', 472500000, 0.015, 472500, '?뺤긽', None, None]
??5: [20250109, 'B002', 'E012', 'C026', 'ELS', '?댁?', 58500000, 0.0041, 239850, '?ㅻ쪟', None, None]
??6: [20250109, 'B002', 'E017', 'C060', '???, '媛??, 19100000, 0.0028, 53480, '?뺤긽', None, None]
??7: [20250117, 'B002', 'E002', 'C052', '梨꾧텒', '留ㅻ룄', 95000000, 0.0011, 104500, '?뺤긽', None, None]
??8: [20250117, 'B005', 'E015', 'C007', 'RP', '媛??, 493900000, 0.0012, 670457, '?뺤긽', None, None]
??9: [20250117, 'B002', 'E007', 'C051', 'ELS', '?댁?', 157500000, 0.0041, 645750, '?뺤긽', None, None]
??0: [20250117, 'B002', 'E007', 'C051', '二쇱떇', '留ㅼ닔', 67200000, 0.0015, 100800, '?뺤긽', None, None]
??1: [20250117, 'B004', 'E009', 'C039', '梨꾧텒', '留ㅼ닔', 453700000, 0.0011, 499070, '?뺤긽', None, None]
??1: [20250122, 'B002', 'E017', 'C070', '二쇱떇', '留ㅻ룄', 350600000, 0.0016, 560960, '?뺤긽', None, None]
??2: [20250122, 'B002', 'E017', 'C065', 'ETF', '留ㅻ룄', 311900000, 0.0016, 499040, '?뺤긽', None, None]
??3: [20250122, 'B004', 'E004', 'C032', '梨꾧텒', '留ㅼ닔', 288200000, 0.001, 288200, '?뺤긽', None, None]
??5: [20250129, 'B002', 'E017', 'C048', '???, '?댁?', 446000000, 0.003, 1338000, '?뺤긽', None, None]
??6: [20250129, 'B004', 'E004', 'C066', '二쇱떇', '留ㅻ룄', 171200000, 0.0014, 239680, '?뺤긽', None, None]
??7: [20250129, 'B001', 'E001', 'C040', '二쇱떇', '?뺤젙', 415000000, 0.0014, 581000, '?뺤긽', None, None]
??21: [20250224, 'B004', 'E004', 'C055', '二쇱떇', '留ㅼ닔', 21100000, 0.0017, 35870, '?뺤긽', None, None]
??22: [20250224, 'B004', 'E019', 'C011', 'RP', '媛??, 189900000, 0.0013, 246870, '?뺤긽', None, None]
??23: [20250224, 'B003', 'E018', 'C021', 'ELS', '?댁?', 480100000, 0.004, 1920400, '?뺤긽', None, None]
??24: [20250224, 'B002', 'E012', 'C035', '梨꾧텒', '留ㅻ룄', 103900000, 0.001, -5000, '?뺤긽', None, None]
??25: [20250224, 'B004', 'E019', 'C013', '二쇱떇', '留ㅻ룄', 90600000, 0.0017, 154020, '痍⑥냼', None, None]
??26: [20250224, 'B005', 'E020', 'C078', '???, '媛??, 364500000, 0.0032, 1166400, '?뺤긽', None, None]
??27: [20250224, 'B003', 'E018', 'C027', '二쇱떇', '留ㅻ룄', 421300000, 0.0015, 631950, '?뺤긽', None, None]
??51: [20250306, 'B001', 'E001', 'C079', '???, '媛??, -1000000, 0.0029, 630460, '?뺤긽', None, None]
??52: [20250306, 'B003', 'E003', 'C054', '二쇱떇', '留ㅼ닔', 10700000, 0.0014, 14980, '?뺤긽', None, None]
??75: [20250319, 'B003', 'E018', 'C058', 'RP', '?댁?', 81300000, 0.001, 81300, '?뺤긽', None, None]
??76: [20250319, 'B003', 'E008', 'C071', '二쇱떇', '留ㅻ룄', 16700000, None, 23380, '?뺤긽', None, None]
